fund_symbol,price_date,open,high,low,close,adj_close,volume
AADR,11/30/16,41.18,41.18,40.68,40.68,39.57,2800
AADR,12/1/16,40.45,40.45,39.75,39.75,38.66,4200
AADR,12/2/16,40.27,40.27,39.81,39.81,38.72,2300
AADR,12/5/16,39.56,40.12,39.56,40.12,39.02,3100
AADR,12/6/16,40.5,40.69,40.49,40.67,39.56,20400
AADR,12/7/16,40.75,40.94,40.54,40.85,39.73,22000
AADR,12/8/16,40.54,40.88,40.54,40.8,39.68,7700
AADR,12/9/16,40.8,40.8,40.64,40.68,39.57,2900
AADR,12/12/16,40.65,40.66,40.28,40.46,39.35,6900
AADR,12/13/16,41,41,40.62,40.83,39.71,4300
AADR,12/14/16,40.54,40.63,40.01,40.04,38.94,15100
AADR,12/15/16,41.95,41.95,39.81,40.12,39.02,13500
AADR,12/16/16,41.12,41.12,39.65,39.66,38.57,8300
AADR,12/19/16,39.57,39.57,39.11,39.11,38.04,1600
AADR,12/20/16,39.12,39.47,39.12,39.37,38.29,1100
AADR,12/21/16,39.65,39.66,39.35,39.65,38.56,6900
AADR,12/22/16,40.59,40.59,39.24,39.54,38.46,5500
AADR,12/23/16,39.6,39.8,39.5,39.76,38.7,1900
AADR,12/27/16,39.69,39.89,39.54,39.89,38.83,3200
AADR,12/28/16,41.45,41.45,40.15,40.65,39.57,2300
AADR,12/29/16,40.02,40.22,40.02,40.22,39.15,1800
AADR,12/30/16,40.28,40.39,40.04,40.18,39.11,3800
AADR,1/3/17,40.98,41.68,40.98,41.25,40.15,4500
AADR,1/4/17,41.84,41.96,41.49,41.96,40.84,6800
AADR,1/5/17,42.49,42.95,42.24,42.41,41.28,6200
AADR,1/6/17,42.14,42.4,42.14,42.27,41.14,2100
AADR,1/9/17,42.58,42.6,42.42,42.42,41.29,2100
AADR,1/10/17,43.04,43.04,42.8,42.82,41.68,2800
AADR,1/11/17,43.2,43.4,42.67,43.4,42.24,6700
AADR,1/12/17,43.33,43.39,43.27,43.37,42.21,5500
AADR,1/13/17,43.05,43.45,43.05,43.42,42.26,2300
AADR,1/17/17,43.44,43.77,43.42,43.77,42.6,3500
AADR,1/18/17,43.66,43.66,43.27,43.45,42.29,3900
AADR,1/19/17,43.46,43.51,43.35,43.43,42.27,7600
AADR,1/20/17,43.95,43.95,43.69,43.71,42.54,3300
AADR,1/23/17,43.94,44.51,43.85,44.47,43.28,16500
AADR,1/24/17,44.43,44.43,44.13,44.13,42.95,6500
AADR,1/25/17,44.59,44.85,44.47,44.85,43.65,33400
AADR,1/26/17,45.49,45.49,44.26,44.47,43.28,15400
AADR,1/27/17,44.49,44.5,44.22,44.33,43.15,9700
AADR,1/30/17,44.5,44.54,43.73,43.94,42.77,5000
AADR,1/31/17,44.18,44.36,43.89,44.22,43.04,3200
AADR,2/1/17,44.64,44.81,44.13,44.46,43.27,13300
AADR,2/2/17,44.69,45.08,44.58,45,43.8,13300
AADR,2/3/17,45.88,45.88,44.82,44.96,43.76,6200
AADR,2/6/17,45.38,45.38,44.15,44.62,43.43,7400
AADR,2/7/17,45,45,44.19,44.22,43.04,7400
AADR,2/8/17,43.94,44.37,43.94,44.37,43.19,4500
AADR,2/9/17,44.32,44.57,44.29,44.33,43.15,3400
AADR,2/10/17,44.92,45.27,44.77,45.07,43.87,9200
AADR,2/13/17,45.8,45.8,45.38,45.62,44.4,30300
AADR,2/14/17,45.9,45.9,44.95,45.45,44.24,22000
AADR,2/15/17,45.58,45.8,45.58,45.78,44.56,7800
AADR,2/16/17,46,46,45.69,45.78,44.56,8000
AADR,2/17/17,45.7,45.7,45.24,45.43,44.22,13800
AADR,2/21/17,45.78,46.19,45.66,46.05,44.82,8100
AADR,2/22/17,45.95,46.26,45.95,46.13,44.9,18400
AADR,2/23/17,46.44,46.67,45.57,45.82,44.6,12500
AADR,2/24/17,45.3,46.17,45,45.05,43.85,14500
AADR,2/27/17,45.34,45.34,44.8,45.16,43.96,18300
AADR,2/28/17,45.24,45.49,44.91,44.91,43.71,16100
AADR,3/1/17,45.8,46.05,45.58,46.02,44.79,5800
AADR,3/2/17,46.14,46.14,45.18,45.33,44.12,15300
AADR,3/3/17,45.6,45.95,45.51,45.91,44.69,4600
AADR,3/6/17,46,46,45.43,45.54,44.33,20800
